date,store_id,product_id,category,region,inventory_level,units_sold,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality
2022-01-03,1,0,4,3,397,335,23.06,5,0,0,23.29,3
2022-01-03,1,0,0,0,277,67,15.03,15,3,1,18.5,0
2022-01-03,0,0,3,3,159,25,19.32,10,3,1,16.25,1
2022-01-03,4,0,1,1,426,291,53.99,0,3,1,55.49,0
2022-01-03,3,0,0,1,417,313,78.93,15,2,1,81.5,1
2022-01-03,2,0,3,3,219,87,79.44,15,1,1,77.64,0
2022-01-03,1,0,1,1,459,132,24.93,10,0,1,25.69,3
2022-01-03,0,0,0,2,460,64,39.31,15,2,0,35.96,1
2022-01-03,4,0,2,3,190,12,59.46,10,3,1,57.63,2
2022-01-03,3,0,2,0,285,224,45.04,20,0,1,40.94,0
2022-01-03,3,0,1,3,220,169,80.76,20,1,1,82.1,2
2022-01-03,0,0,2,0,496,282,27.67,10,3,0,28.65,1
2022-01-03,4,0,2,3,126,111,58.67,5,0,0,57.84,3
2022-01-03,3,0,3,0,53,11,40.6,15,3,1,45.11,1
2022-01-03,2,0,1,3,94,83,44.98,5,3,0,48.14,3
2022-01-03,1,0,3,0,479,140,71.36,20,3,0,74.95,0
2022-01-03,0,0,4,3,290,59,37.08,0,1,0,32.63,1
2022-01-03,4,0,1,3,412,24,92.36,0,2,0,94.36,0
2022-01-03,3,0,2,2,294,230,44.81,0,0,0,47.35,3
2022-01-03,2,0,4,2,74,73,37.82,5,3,0,39.54,1
2022-01-03,1,0,4,0,397,2,21.88,15,1,0,19.34,0
2022-01-03,0,0,4,1,405,276,65.97,15,0,0,67.54,1
2022-01-03,4,0,4,3,258,218,48.21,0,2,1,48.37,0
2022-01-03,3,0,1,2,197,192,19.98,20,3,1,16.67,2
2022-01-03,3,0,4,3,354,284,82.81,15,0,1,82.63,0
2022-01-03,2,0,1,0,361,239,23.58,10,0,1,20.4,0
2022-01-03,0,0,1,3,483,143,15.79,15,0,1,19.12,0
2022-01-03,4,0,1,2,485,102,30.32,10,1,1,30.28,0
2022-01-03,3,0,0,0,239,194,64.08,5,2,1,62.06,3
2022-01-03,2,0,2,1,266,106,60.19,20,1,1,64.61,0
2022-01-03,1,0,2,1,343,255,91.52,0,2,0,93.85,1
2022-01-03,0,0,1,3,72,48,67.67,20,0,0,66.42,3
2022-01-03,4,0,4,1,333,33,54.32,15,2,0,56.01,2
2022-01-03,3,0,3,2,112,63,48.11,20,3,0,47.44,0
2022-01-03,2,0,1,3,285,35,27.65,5,3,1,24.98,1
2022-01-03,1,0,1,0,89,0,12.56,15,2,0,16.94,3
2022-01-03,1,0,1,0,100,87,87.49,0,1,0,92.4,3
2022-01-03,4,0,2,2,341,309,49.87,5,2,1,47.46,0
2022-01-03,0,0,2,3,383,127,30.44,20,0,0,25.63,1
2022-01-03,0,0,2,2,197,17,38.73,0,1,0,38.79,3
2022-01-03,4,0,2,1,63,10,46.96,0,0,0,42.24,2
2022-01-03,2,0,2,1,140,118,88.16,5,1,0,87.99,3
2022-01-03,1,0,0,0,215,111,59.5,0,0,0,58.89,1
2022-01-03,0,0,3,2,458,350,51.44,15,2,0,51.54,2
2022-01-03,4,0,4,2,371,74,40.47,20,0,0,40.3,1
2022-01-03,3,0,4,1,201,198,57.58,10,0,0,58.98,2
2022-01-03,2,0,1,3,388,53,93.06,0,2,1,88.15,2
2022-01-03,0,0,3,2,238,147,28.46,20,3,1,29.4,3
2022-01-03,4,0,3,0,455,294,11.91,10,0,1,11.08,1
2022-01-03,3,0,2,3,463,164,84.7,10,3,1,83.47,2
2022-01-03,2,0,0,3,108,6,10.8,5,3,0,10.57,2
2022-01-03,1,0,2,0,250,161,56.24,15,2,1,60.32,1
2022-01-03,0,0,2,0,485,350,74.62,5,3,0,74.06,3
2022-01-03,4,0,3,2,145,54,55.84,20,3,1,53.31,3
2022-01-03,3,0,2,1,437,289,10.88,10,0,1,13.35,1
2022-01-03,1,0,3,2,155,64,62.45,15,3,0,65.01,0
2022-01-03,2,0,2,1,468,360,12.46,20,0,0,14.58,0
2022-01-03,1,0,0,2,271,38,94.77,0,1,0,97.64,3
2022-01-03,0,0,0,3,207,161,57.43,10,3,1,53.14,0
2022-01-03,4,0,3,1,390,44,49.97,20,2,0,53.63,2
2022-01-03,3,0,2,3,141,73,36.63,20,0,0,34.88,2
2022-01-03,2,0,3,2,393,107,35.49,20,2,1,35.21,2
2022-01-03,1,0,4,3,224,57,41.62,20,3,0,42.85,1
2022-01-04,0,0,1,2,244,62,11.34,5,1,0,9.63,1
2022-01-04,1,0,4,0,409,388,27.27,10,0,1,29.87,2
2022-01-04,2,0,1,3,410,266,42.14,20,1,1,46.68,1
2022-01-04,2,0,4,2,330,210,50.38,0,1,1,46.12,3
2022-01-04,4,0,1,2,92,9,88.84,10,2,1,85.76,2
2022-01-04,0,0,4,1,380,348,98.99,5,1,0,97.93,0
2022-01-04,1,0,1,1,261,51,32.09,0,2,0,33.5,2
2022-01-04,4,0,3,0,227,97,41.28,15,2,1,44.0,1
2022-01-04,3,0,2,0,302,58,69.81,20,1,1,69.16,0
2022-01-04,3,0,4,3,164,13,91.6,20,1,0,93.9,3
2022-01-04,2,0,4,1,154,46,74.91,15,2,1,72.12,1
2022-01-04,1,0,4,3,394,150,85.79,5,2,0,82.42,1
2022-01-04,0,0,2,1,195,107,53.99,10,3,1,58.8,3
2022-01-04,4,0,0,2,252,236,27.86,20,2,0,29.17,3
2022-01-04,3,0,1,1,357,276,69.19,0,0,0,73.88,2
2022-01-04,2,0,2,3,58,46,14.95,15,0,1,10.02,2
2022-01-04,1,0,0,1,414,301,70.45,20,1,0,74.85,1
2022-01-04,0,0,3,1,468,177,30.15,10,2,1,32.92,2
2022-01-04,4,0,1,3,476,164,98.28,15,1,0,98.13,0
2022-01-04,3,0,0,2,462,174,50.64,10,1,1,53.22,1
2022-01-04,3,0,2,3,485,171,34.69,15,1,1,36.38,2
2022-01-04,2,0,0,1,388,39,66.68,15,1,1,62.1,0
2022-01-04,4,0,4,0,354,261,38.2,10,2,0,39.11,3
2022-01-04,1,0,2,3,470,66,51.11,15,2,0,50.27,2
2022-01-04,1,0,3,1,408,252,66.92,5,3,1,68.5,3
2022-01-04,1,0,2,3,314,207,35.15,20,3,0,32.6,2
2022-01-04,3,0,0,2,288,199,32.2,5,3,1,28.0,3
2022-01-04,2,0,1,1,472,351,48.97,10,3,0,50.94,3
2022-01-04,1,0,0,3,67,44,30.68,20,3,0,28.82,3
2022-01-04,0,0,1,2,420,244,58.96,15,1,0,60.11,3
2022-01-04,4,0,1,1,420,42,67.55,5,3,1,69.5,0
2022-01-04,3,0,0,0,384,306,18.9,20,1,0,14.88,1
2022-01-04,2,0,3,1,235,107,88.95,20,0,1,86.11,2
2022-01-04,1,0,4,1,316,59,45.95,15,1,0,44.81,1
2022-01-04,0,0,4,0,115,70,96.25,5,2,0,94.4,2
2022-01-04,0,0,2,2,84,26,67.82,0,2,1,62.89,3
2022-01-04,4,0,0,1,248,239,68.41,20,0,0,64.72,3
2022-01-04,2,0,4,1,79,0,86.31,10,3,0,88.47,1
2022-01-04,0,0,3,0,256,237,92.79,5,0,0,97.71,0
2022-01-04,4,0,4,0,427,266,26.84,15,3,1,25.68,2
2022-01-04,3,0,4,2,315,53,74.68,15,2,1,79.22,3
2022-01-04,2,0,0,1,182,72,70.75,10,3,1,70.39,0
2022-01-04,1,0,2,2,231,90,30.7,5,3,1,35.1,0
2022-01-04,0,0,2,0,334,39,65.44,20,3,1,69.95,3
2022-01-04,4,0,0,3,265,152,52.13,0,3,0,53.4,1
2022-01-04,3,0,3,3,482,61,88.2,15,0,0,92.99,1
2022-01-04,2,0,4,3,387,19,39.74,10,1,0,43.29,1
2022-01-04,3,0,3,3,368,192,56.15,5,0,1,57.58,0
2022-01-04,0,0,3,3,403,171,72.66,20,2,0,67.92,3
2022-01-04,4,0,2,1,74,12,56.4,0,1,0,51.53,3
2022-01-04,3,0,3,3,227,92,37.33,0,3,1,38.62,3
2022-01-04,1,0,0,0,399,327,76.01,15,2,1,77.85,1
2022-01-04,0,0,3,2,253,26,87.62,10,1,1,89.03,1
2022-01-04,4,0,3,2,73,58,46.45,5,0,1,48.28,1
2022-01-04,3,0,0,2,230,120,20.42,20,0,0,17.62,1
2022-01-04,2,0,0,2,215,167,84.86,20,1,0,85.01,3
2022-01-04,1,0,2,0,273,216,36.99,15,1,1,34.96,1
2022-01-04,0,0,3,3,322,158,23.65,10,1,0,20.38,1
2022-01-04,4,0,3,2,55,13,88.09,10,3,0,91.19,2
2022-01-04,3,0,3,1,404,320,93.61,10,2,0,98.46,1
2022-01-04,2,0,3,2,222,96,32.23,20,2,0,30.94,1
2022-01-04,2,0,2,2,146,107,78.99,5,0,0,83.91,1
2022-01-04,1,0,3,0,180,21,84.23,10,2,0,82.56,1
2022-01-04,4,0,4,3,352,339,68.61,10,2,1,68.89,0
2022-01-04,3,0,0,1,303,282,41.13,15,2,0,39.52,3
2022-01-04,2,0,4,0,323,320,70.75,5,2,1,70.66,0
2022-01-04,1,0,3,0,396,85,87.64,0,0,0,92.39,2
2022-01-04,0,0,1,1,167,69,68.85,5,0,1,71.82,1
2022-01-04,4,0,0,3,333,195,34.92,15,1,1,34.3,0
2022-01-04,3,0,3,2,185,101,16.86,20,0,0,12.11,0
2022-01-04,2,0,2,3,223,170,96.28,15,0,1,93.98,2
2022-01-04,1,0,2,3,131,81,28.58,10,3,1,30.51,3
2022-01-04,0,0,1,0,198,37,91.05,5,2,0,87.3,2
2022-01-04,0,0,1,2,463,192,62.37,10,0,1,64.64,3
2022-01-04,3,0,1,0,365,4,57.85,20,2,0,57.72,2
2022-01-04,4,0,0,1,177,149,69.58,15,0,0,68.65,1
2022-01-04,0,0,2,1,219,113,94.24,15,1,0,96.41,1
2022-01-04,2,0,3,1,168,15,96.57,15,1,0,101.49,2
2022-01-04,1,0,4,1,196,32,52.15,20,0,1,54.92,1
2022-01-04,0,0,0,2,118,39,73.1,15,1,0,77.49,0
2022-01-04,4,0,1,2,296,243,68.64,15,3,0,72.54,0
2022-01-04,3,0,1,2,471,149,32.19,10,2,0,32.48,0
2022-01-04,2,0,4,0,429,217,43.22,10,1,1,42.49,1
2022-01-04,4,0,0,0,449,101,96.33,0,1,1,101.22,1
2022-01-04,0,0,1,0,385,365,95.87,0,0,0,95.64,2
2022-01-04,4,0,0,2,316,288,53.49,5,2,0,54.69,0
2022-01-04,3,0,3,2,457,168,96.0,20,3,0,92.85,1
2022-01-04,2,0,2,3,398,224,45.73,5,3,1,43.16,0
2022-01-04,1,0,3,0,251,104,86.86,10,2,1,82.08,0
2022-01-04,0,0,2,3,320,229,64.06,15,2,0,64.54,2
2022-01-04,4,0,1,0,98,87,35.21,5,2,0,36.48,0
2022-01-04,3,0,1,1,149,56,70.68,5,3,0,70.63,3
2022-01-04,2,0,1,0,330,87,39.07,15,3,0,38.37,1
2022-01-04,1,0,4,1,96,85,45.94,5,3,0,49.28,3
2022-01-04,0,0,3,0,305,4,46.96,20,1,1,49.08,0
2022-01-04,4,0,0,0,411,181,68.58,0,3,0,67.31,0
